0.000000,0.000000
52.335956,1.370465
104.528463,5.478105
156.434465,12.311659
207.911691,21.852399
258.819045,34.074174
309.016994,48.943484
358.367950,66.419574
406.736643,86.454542
453.990500,108.993476
500.000000,133.974596
544.639035,161.329432
587.785252,190.983006
629.320391,222.854039
669.130606,256.855175
707.106781,292.893219
743.144825,330.869394
777.145961,370.679609
809.016994,412.214748
838.670568,455.360965
866.025404,500.000000
891.006524,546.009500
913.545458,593.263357
933.580426,641.632050
951.056516,690.983006
965.925826,741.180955
978.147601,792.088309
987.688341,843.565535
994.521895,895.471537
998.629535,947.664044
1000.000000,1000.000000
998.629535,1052.335956
994.521895,1104.528463
987.688341,1156.434465
978.147601,1207.911691
965.925826,1258.819045
951.056516,1309.016994
933.580426,1358.367950
913.545458,1406.736643
891.006524,1453.990500
866.025404,1500.000000
838.670568,1544.639035
809.016994,1587.785252
777.145961,1629.320391
743.144825,1669.130606
707.106781,1707.106781
669.130606,1743.144825
629.320391,1777.145961
587.785252,1809.016994
544.639035,1838.670568
500.000000,1866.025404
453.990500,1891.006524
406.736643,1913.545458
358.367950,1933.580426
309.016994,1951.056516
258.819045,1965.925826
207.911691,1978.147601
156.434465,1987.688341
104.528463,1994.521895
52.335956,1998.629535
0.000000,2000.000000
-26.167978,2000.685233
-52.264232,2002.739052
-78.217233,2006.155830
-103.955845,2010.926200
-129.409523,2017.037087
-154.508497,2024.471742
-179.183975,2033.209787
-203.368322,2043.227271
-226.995250,2054.496738
-250.000000,2066.987298
-272.319518,2080.664716
-293.892626,2095.491503
-314.660196,2111.427019
-334.565303,2128.427587
-353.553391,2146.446609
-371.572413,2165.434697
-388.572981,2185.339804
-404.508497,2206.107374
-419.335284,2227.680482
-433.012702,2250.000000
-445.503262,2273.004750
-456.772729,2296.631678
-466.790213,2320.816025
-475.528258,2345.491503
-482.962913,2370.590477
-489.073800,2396.044155
-493.844170,2421.782767
-497.260948,2447.735768
-499.314767,2473.832022
-500.000000,2500.000000
-499.314767,2526.167978
-497.260948,2552.264232
-493.844170,2578.217233
-489.073800,2603.955845
-482.962913,2629.409523
-475.528258,2654.508497
-466.790213,2679.183975
-456.772729,2703.368322
-445.503262,2726.995250
-433.012702,2750.000000
-419.335284,2772.319518
-404.508497,2793.892626
-388.572981,2814.660196
-371.572413,2834.565303
-353.553391,2853.553391
-334.565303,2871.572413
-314.660196,2888.572981
-293.892626,2904.508497
-272.319518,2919.335284
-250.000000,2933.012702
-226.995250,2945.503262
-203.368322,2956.772729
-179.183975,2966.790213
-154.508497,2975.528258
-129.409523,2982.962913
-103.955845,2989.073800
-78.217233,2993.844170
-52.264232,2997.260948
-26.167978,2999.314767
-0.000000,3000.000000
26.167978,2999.314767
52.264232,2997.260948
78.217233,2993.844170
103.955845,2989.073800
129.409523,2982.962913
154.508497,2975.528258
179.183975,2966.790213
203.368322,2956.772729
226.995250,2945.503262
250.000000,2933.012702
272.319518,2919.335284
293.892626,2904.508497
314.660196,2888.572981
334.565303,2871.572413
353.553391,2853.553391
371.572413,2834.565303
388.572981,2814.660196
404.508497,2793.892626
419.335284,2772.319518
433.012702,2750.000000
445.503262,2726.995250
456.772729,2703.368322
466.790213,2679.183975
475.528258,2654.508497
482.962913,2629.409523
489.073800,2603.955845
493.844170,2578.217233
497.260948,2552.264232
499.314767,2526.167978
500.000000,2500.000000
499.314767,2473.832022
497.260948,2447.735768
493.844170,2421.782767
489.073800,2396.044155
482.962913,2370.590477
475.528258,2345.491503
466.790213,2320.816025
456.772729,2296.631678
445.503262,2273.004750
433.012702,2250.000000
419.335284,2227.680482
404.508497,2206.107374
388.572981,2185.339804
371.572413,2165.434697
353.553391,2146.446609
334.565303,2128.427587
314.660196,2111.427019
293.892626,2095.491503
272.319518,2080.664716
250.000000,2066.987298
226.995250,2054.496738
203.368322,2043.227271
179.183975,2033.209787
154.508497,2024.471742
129.409523,2017.037087
103.955845,2010.926200
78.217233,2006.155830
52.264232,2002.739052
26.167978,2000.685233
0.000000,2000.000000
-52.335956,1998.629535
-104.528463,1994.521895
-156.434465,1987.688341
-207.911691,1978.147601
-258.819045,1965.925826
-309.016994,1951.056516
-358.367950,1933.580426
-406.736643,1913.545458
-453.990500,1891.006524
-500.000000,1866.025404
-544.639035,1838.670568
-587.785252,1809.016994
-629.320391,1777.145961
-669.130606,1743.144825
-707.106781,1707.106781
-743.144825,1669.130606
-777.145961,1629.320391
-809.016994,1587.785252
-838.670568,1544.639035
-866.025404,1500.000000
-891.006524,1453.990500
-913.545458,1406.736643
-933.580426,1358.367950
-951.056516,1309.016994
-965.925826,1258.819045
-978.147601,1207.911691
-987.688341,1156.434465
-994.521895,1104.528463
-998.629535,1052.335956
-1000.000000,1000.000000
-998.629535,947.664044
-994.521895,895.471537
-987.688341,843.565535
-978.147601,792.088309
-965.925826,741.180955
-951.056516,690.983006
-933.580426,641.632050
-913.545458,593.263357
-891.006524,546.009500
-866.025404,500.000000
-838.670568,455.360965
-809.016994,412.214748
-777.145961,370.679609
-743.144825,330.869394
-707.106781,292.893219
-669.130606,256.855175
-629.320391,222.854039
-587.785252,190.983006
-544.639035,161.329432
-500.000000,133.974596
-453.990500,108.993476
-406.736643,86.454542
-358.367950,66.419574
-309.016994,48.943484
-258.819045,34.074174
-207.911691,21.852399
-156.434465,12.311659
-104.528463,5.478105
-52.335956,1.370465
-0.000000,0.000000
